Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Density,Polymer Code,Tensile Strength at Yield,Melting Temperature,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
RJM,SI301G30,Polyethylene Terephthalate,PET,1.55,PET-GF30,,,9410.0,196.0,,,
RJM,SI302G30,Polyethylene Terephthalate,PET,1.68,PET-GF30-FR,,,9810.0,186.0,,,
RTP,1104 M 15 BLK,Polyethylene Terephthalate,PET,1.64,PET-(GF+MD)40,,,11700.0,200.0,13800.0,,
RTP,1105 TFE 15,Polyethylene Terephthalate,PET,1.68,PET-GF30-L,,,9310.0,193.0,9650.0,,
Relpet®,H7761,Polyethylene Terephthalate,PET,,PET,,,,,,,
DuraPET,0624 FR,Polyethylene Terephthalate,PET,1.27,PET-FR,,,2470.0,,2170.0,,9.3
PQS,HF,Polyethylene Terephthalate,PET,,PET,,251.0,,,,,
Pontex,TFB5020G-GY1D,Polyethylene Terephthalate,PET,1.54,PET-X20,,,6670.0,132.0,,,50.0
OCEANWORKS®,OR.201611,Polyethylene Terephthalate,PET,1.36,PET,,,,,,,
SUSTADUR®,PET black extruded,Polyethylene Terephthalate,PET,1.38,PET,85.0,255.0,,,3000.0,,
SUSTADUR®,PET FG black,Polyethylene Terephthalate,PET,1.39,PET,85.0,255.0,,,3200.0,,
SUSTADUR®,PET natural calendered,Polyethylene Terephthalate,PET,1.38,PET,85.0,255.0,,,3000.0,,
SUSTADUR®,PET natural extruded,Polyethylene Terephthalate,PET,1.38,PET,85.0,255.0,,,3000.0,,
Meras®,HRX 2500 SG15,Polyethylene Terephthalate,PET,1.45,PET-GF15,,248.0,,,7000.0,,
VERDANT™,PCRPT076E,Polyethylene Terephthalate,PET,,PET,,,,,,,
VERDANT™,PCRPT080NN,Polyethylene Terephthalate,PET,,PET,,,,,,,
VERDANT™,PCRPTF075 Series,Polyethylene Terephthalate,PET,0.25,PET,,120.0,,,,,30.0
VINPOL™,PT092,Polyethylene Terephthalate,PET,,PET,,254.0,,,,,
TechnoPet,GF 45 2 0 schwarz (32923),Polyethylene Terephthalate,PET,1.71,PET-GF45,145.0,,17300.0,225.0,17000.0,,
HiFill®,PET GF/M35,Polyethylene Terephthalate,PET,1.59,PET-(GF+MD)35,,254.0,9650.0,170.0,,,
HiFill®,PET GF30 2000,Polyethylene Terephthalate,PET,1.56,PET-GF30,,254.0,8960.0,248.0,,,
HiFill®,PET GF30 FR 2000 NAT,Polyethylene Terephthalate,PET,1.67,PET-GF-FR,,,9650.0,207.0,,,
HiFill®,PET GF45 NAT,Polyethylene Terephthalate,PET,1.69,PET-GF45,,254.0,13800.0,283.0,,,
TAROLOX,111 G3 DX0,Polyethylene Terephthalate,PET,1.52,PET-GF15-FR,,256.0,9000.0,140.0,10500.0,,
TAROLOX,111 G4,Polyethylene Terephthalate,PET,1.48,PET-GF20,,252.0,7800.0,170.0,8200.0,,
TAROLOX,111 G4 DX0,Polyethylene Terephthalate,PET,1.58,PET-GF20-FR,,256.0,8000.0,190.0,8800.0,,
TAROLOX,111 G4 DX02,Polyethylene Terephthalate,PET,1.63,PET-GF20-FR,,256.0,8200.0,180.0,9000.0,,
TAROLOX,111 G5,Polyethylene Terephthalate,PET,1.51,PET-GF25,,256.0,7800.0,185.0,8500.0,,
Sunny®,PET EN220,Polyethylene Terephthalate,PET,1.6,PET-GF20-FR,,,6300.0,170.0,,,
Lighter™,S93,Polyethylene Terephthalate,PET,,PET,55.0,,2100.0,,2300.0,78.0,
TECAPET,white,Polyethylene Terephthalate,PET,1.38,PET,68.9,254.0,3240.0,107.0,3240.0,,
EPIMIX,PET GFR 30 NC Q1D001,Polyethylene Terephthalate,PET,1.56,PET-GF30-L,,255.0,9500.0,240.0,10500.0,,27.0
EPIMIX,PET GFR 35 NC Q1D501,Polyethylene Terephthalate,PET,1.6,PET-GF35-L,,255.0,9500.0,245.0,11000.0,,25.0
EPIMIX,PET GV0 30 NC Q1D0B301,Polyethylene Terephthalate,PET,1.71,PET-GF30-FR-L,,255.0,10000.0,225.0,11500.0,,
SureSpec,PET-80HF,Polyethylene Terephthalate,PET,,PET,,,,,,,
SureSpec,PET-80S,Polyethylene Terephthalate,PET,,PET,,119.0,,,,,
Tecopet®,PT70 GR15 NL100 PS20,Polyethylene Terephthalate,PET,1.54,PET-GF15-FR,,255.0,,,7000.0,,
Tecopet®,PT74 GR20 BK002 DA,Polyethylene Terephthalate,PET,1.48,PET-GF20,,250.0,,,8000.0,,
Tecopet®,PT74 GR30 BK002 XA20,Polyethylene Terephthalate,PET,1.69,PET-GF30-FR,,250.0,,,10500.0,,
ASPIRE®,84 J,Polyethylene Terephthalate,PET,,PET,,,,,,,
TRIPET®,2500G20,Polyethylene Terephthalate,PET,1.47,PET,118.0,,7350.0,,,,50.0
TRIPET®,2500G30,Polyethylene Terephthalate,PET,1.56,PET,127.0,,8830.0,,,,40.0
TRIPET®,2500G36,Polyethylene Terephthalate,PET,1.16,PET,157.0,,10800.0,,,,38.0
TRIPET®,LV2550GN30,Polyethylene Terephthalate,PET,1.61,PET,137.0,,8830.0,,,,60.0
