Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Density,Tensile Strength at Yield,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
ELTEX® P,KS359 HP,Polypropylene Random Copolymer,PP Random Copolymer,0.895,20.0,620.0,,,,6.0
ELTEX® P,KS384,Polypropylene Random Copolymer,PP Random Copolymer,0.895,20.0,620.0,,,,5.0
ELTEX® P,KS407,Polypropylene Random Copolymer,PP Random Copolymer,0.895,21.0,700.0,,,,5.0
ELTEX® P,KS409,Polypropylene Random Copolymer,PP Random Copolymer,0.895,21.0,700.0,,,,5.0
ELTEX® P,KV353,Polypropylene Terpolymer,PP Terpolymer,,,650.0,,,,9.0
INEOS PP,3950,Polypropylene Impact Copolymer,PP Impact Copolymer,0.903,26.9,1200.0,,,,34.0
INEOS PP,H03W-01,Polypropylene Homopolymer,PP Homopolymer,0.915,37.2,1790.0,,,,3.6
INEOS PP,H12G-01,Polypropylene Homopolymer,PP Homopolymer,0.907,35.8,1690.0,,,,12.0
INEOS PP,H12Z-02,Polypropylene Homopolymer,PP Homopolymer,0.908,37.0,1730.0,,,,13.0
INEOS PP,H35Z-00,Polypropylene Homopolymer,PP Homopolymer,0.9,40.0,1740.0,,,,35.0
INEOS PP,H38G-02,Polypropylene Homopolymer,PP Homopolymer,0.906,33.4,1300.0,,,,38.0
INEOS PP,L12N-00,Polypropylene Impact Copolymer,PP Impact Copolymer,0.903,25.8,1260.0,,,,12.0
INEOS PP,L70Z-01,Polypropylene Impact Copolymer,PP Impact Copolymer,0.91,23.1,1160.0,,,,70.0
INEOS PP,N02G-00,Polypropylene Impact Copolymer,PP Impact Copolymer,0.9,25.5,1210.0,,,,2.5
INEOS PP,N12Z-00,Polypropylene Impact Copolymer,PP Impact Copolymer,0.901,22.5,1060.0,,,,12.0
INEOS PP,N20N-00,Polypropylene Impact Copolymer,PP Impact Copolymer,0.901,22.6,1230.0,,,,20.0
INEOS PP,R01A-00,Polypropylene Random Copolymer,PP Random Copolymer,0.9,28.0,985.0,,,,1.9
INEOS PP,R12C-01,Polypropylene Random Copolymer,PP Random Copolymer,0.903,31.2,1160.0,,,,12.0
INEOS PP,R35C-01,Polypropylene Random Copolymer,PP Random Copolymer,0.904,29.6,1090.0,,,,35.0
INNOPOL® PP,CS 1-2820 MA,Polypropylene Homopolymer,PP Homopolymer,1.05,65.0,,,4300.0,,16.0
INNOPOL® PP,CS 1-3140 OL,Polypropylene Homopolymer,PP Homopolymer,1.24,31.0,4500.0,,4200.0,,10.0
INNOPOL® PP,CS 1-4140 AP,Polypropylene Homopolymer,PP Homopolymer,1.22,26.0,3700.0,,3500.0,,5.0
INNOPOL® PP,CS 1-5140 LH,Polypropylene Homopolymer,PP Homopolymer,1.22,31.0,4100.0,,4000.0,,
INNOPOL® PP,CS 1-5820 15GF,Polypropylene Homopolymer,PP Homopolymer,1.01,63.0,,,3700.0,,3.5
INNOPOL® PP,CS 1-6140,Polypropylene Homopolymer,PP Homopolymer,1.22,35.0,4200.0,,4100.0,,2.0
INNOPOL® PP,CS 1-8000,Polypropylene Homopolymer,PP Homopolymer,0.9,33.0,1500.0,,1400.0,,0.3
INNOPOL® PP,CS 2-3000 B,Polypropylene Impact Copolymer,PP Impact Copolymer,0.91,29.0,,,1350.0,,12.0
INNOPOL® PP,CS 2-3120 OL,Polypropylene Impact Copolymer,PP Impact Copolymer,1.04,28.0,2600.0,,2500.0,,10.0
INNOPOL® PP,CS 2-4120,Polypropylene Impact Copolymer,PP Impact Copolymer,1.04,26.0,2500.0,,2400.0,,5.0
INNOPOL® PP,CS 2-4630 FR,Polypropylene Impact Copolymer,PP Impact Copolymer,0.95,23.0,1450.0,,1300.0,,6.0
INNOPOL® PP,CS 2-8960 BA60,Polypropylene Impact Copolymer,PP Impact Copolymer,1.75,16.0,2050.0,,1900.0,,
INNOPOL® PP,CS 2-9000,Polypropylene Impact Copolymer,PP Impact Copolymer,0.9,26.0,,,1300.0,,45.0
INNOPOL® PP,CS 2-9302,Polypropylene Impact Copolymer,PP Impact Copolymer,0.89,23.0,1050.0,,1000.0,,30.0
INNOPOL® PP,CS 2-9524,Polypropylene Impact Copolymer,PP Impact Copolymer,1.01,17.5,1600.0,24.6,1570.0,,30.0
INNOPOL® PP,CS 3-5120,"Polypropylene, Unspecified","PP, Unspecified",1.03,30.0,2700.0,,2800.0,,
INNOPOL® PP,CS 3-9230 KAR,Polypropylene Alloy,PP Alloy,1.12,25.0,2000.0,,1950.0,,35.0
Propaream™,T710/200,Polypropylene Alloy,PP Alloy,,,,,,,
Propafilm™,FFC120,Polypropylene Alloy,PP Alloy,,,,,,,
Propafilm™,FFX100,Polypropylene Alloy,PP Alloy,,,,,,,
Propafilm™,GLT80,Polypropylene Alloy,PP Alloy,,,,,,,
Propafilm™,MLP80,Polypropylene Alloy,PP Alloy,,,,,,,
Propafilm™,OLS65,Polypropylene Alloy,PP Alloy,,,,,,,
Propafilm™,OLS80,Polypropylene Alloy,PP Alloy,,,,,,,
Propafilm™,OVS80,Polypropylene Alloy,PP Alloy,,,,,,,
Propafilm™,RD85,Polypropylene Alloy,PP Alloy,,,,,,,
Propafilm™,RGP60,Polypropylene Alloy,PP Alloy,,,,,,,
Propafilm™,RGP80,Polypropylene Alloy,PP Alloy,,,,,,,
Propafilm™,RGR02/120,Polypropylene Alloy,PP Alloy,,,,,,,
Propafilm™,RK140,Polypropylene Alloy,PP Alloy,,,,,,,
Propafilm™,RXD110,Polypropylene Alloy,PP Alloy,,,,,,,
Propafilm™,RXP125,Polypropylene Alloy,PP Alloy,,,,,,,
Propafilm™,SNC25,"Polypropylene, Unspecified","PP, Unspecified",,,,,,,
Propafilm™,XLT65,Polypropylene Alloy,PP Alloy,,,,,,,
Kinta,R4-002 BN,Polyphenylene Sulfide,PPS,1.81,,15200.0,240.0,,,
ECOmpoundS®,1709007,Polypropylene Copolymer,PP Copolymer,0.92,30.0,,,1300.0,,45.0
Fitex PPS,1340L30,Polyphenylene Sulfide,PPS,1.55,,9300.0,206.0,,,
Kingfa,GFPP-10,"Polypropylene, Unspecified","PP, Unspecified",0.97,,2400.0,70.0,,,
Kingfa,GFPP-40,"Polypropylene, Unspecified","PP, Unspecified",1.25,,6500.0,150.0,,,
Kingfa,GFPP-R20,"Polypropylene, Unspecified","PP, Unspecified",1.4,,5000.0,100.0,,,
Kingfa,NHPP-FR,"Polypropylene, Unspecified","PP, Unspecified",1.03,,1700.0,30.0,,,8.0
Kingfa,PP-11678,"Polypropylene, Unspecified","PP, Unspecified",1.05,,2550.0,43.0,,,24.0
Kingfa,PP-NPG20,"Polypropylene, Unspecified","PP, Unspecified",1.25,,4500.0,80.0,,,
Kingfa,PP-NPG30,"Polypropylene, Unspecified","PP, Unspecified",1.29,,5800.0,110.0,,,
Kingfa,PP-R003,"Polypropylene, Unspecified","PP, Unspecified",1.03,,1200.0,36.0,,,16.0
Kingfa,PP-TC15G89,"Polypropylene, Unspecified","PP, Unspecified",0.97,,1600.0,45.0,,,12.0
KMI PP,KM-003JB,Polypropylene Impact Copolymer,PP Impact Copolymer,0.91,28.4,1270.0,,,,5.0
KMI PP,KM-003UH,Polypropylene Homopolymer,PP Homopolymer,0.91,41.2,1960.0,,,,3.0
KMI PP,KM-004FH,Polypropylene Homopolymer,PP Homopolymer,0.91,37.3,1570.0,,,,8.0
KMI PP,KM-0051M,Polypropylene Impact Copolymer,PP Impact Copolymer,0.9,25.0,1200.0,,,,16.0
KMI PP,KM053-MJ,Polypropylene Impact Copolymer,PP Impact Copolymer,0.9,26.0,1280.0,,,,10.0
KMI PP,KM-058IB,Polypropylene Impact Copolymer,PP Impact Copolymer,0.91,28.4,1570.0,,,,43.0
KMI PP,KM-068IB,Polypropylene Impact Copolymer,PP Impact Copolymer,0.91,30.9,1570.0,,,,40.0
KMI PP,KM-199IB,Polypropylene Impact Copolymer,PP Impact Copolymer,0.91,30.9,1620.0,,,,80.0
KMI PP,KM-503IB,Polypropylene Impact Copolymer,PP Impact Copolymer,0.91,30.4,1420.0,,,,5.0
KMI PP,KM-599IB,Polypropylene Impact Copolymer,PP Impact Copolymer,0.91,31.4,1770.0,,,,100.0
KMI PP,KM-616IB,Polypropylene Impact Copolymer,PP Impact Copolymer,0.91,29.4,1420.0,,,,15.0
KMI PP,KM-699IB,Polypropylene Impact Copolymer,PP Impact Copolymer,0.91,29.4,1570.0,,,,100.0
KMI PP,KM-K095J,Polypropylene Random Copolymer,PP Random Copolymer,0.9,27.0,1130.0,,,,44.0
KompoGTe®,LE1G30BL1,"Polypropylene, Unspecified","PP, Unspecified",1.11,,6470.0,155.0,,,
KompoGTe®,LE1G30HSBL,"Polypropylene, Unspecified","PP, Unspecified",0.96,,5800.0,138.0,,,
KompoGTe®,LE1G50BL1,"Polypropylene, Unspecified","PP, Unspecified",1.31,,11200.0,195.0,,,
BGFecomaterials®,KPG1040,"Polypropylene, Unspecified","PP, Unspecified",1.24,,7600.0,170.0,8500.0,,
BGFecomaterials®,KPX1011,"Polypropylene, Unspecified","PP, Unspecified",0.94,,1650.0,46.0,,,
Jampilen,HP564S,Polypropylene Homopolymer,PP Homopolymer,0.9,33.0,1500.0,,,,40.0
Jampilen,RP230C,Polypropylene Random Copolymer,PP Random Copolymer,0.9,25.0,800.0,,,,0.35
Jampilen,RP340N,Polypropylene Random Copolymer,PP Random Copolymer,0.9,28.0,1050.0,,,,11.0
Jampilen,XN100-A,Polypropylene Random Copolymer,PP Random Copolymer,0.9,26.0,1000.0,,,,0.4
WINTEC™,WFW4,Polypropylene Random Copolymer,PP Random Copolymer,0.9,26.0,1000.0,30.0,1050.0,,7.0
WINTEC™,WFW4F,Polypropylene Random Copolymer,PP Random Copolymer,0.9,26.0,1000.0,30.0,1050.0,,7.0
WINTEC™,WFX6,Polypropylene Random Copolymer,PP Random Copolymer,0.9,22.0,700.0,25.0,750.0,,2.0
WELNEX™,RFG4VM,Polypropylene Random Copolymer,PP Random Copolymer,0.89,12.0,280.0,12.0,320.0,,6.0
EVALENE® PP,PHF1001,Polypropylene Homopolymer,PP Homopolymer,,,,,,,10.0
EVALENE® PP,PHJ0501,Polypropylene Homopolymer,PP Homopolymer,,40.0,1540.0,,2470.0,,5.0
EVALENE® PP,PHT0171,Polypropylene Homopolymer,PP Homopolymer,,38.0,1470.0,,2410.0,,1.7
EVALENE® PP,PHY0351,Polypropylene Homopolymer,PP Homopolymer,,34.0,1350.0,,2010.0,,3.5
Inteplast BOPP,AA18,"Polypropylene, Unspecified","PP, Unspecified",,,,,,,
Inteplast BOPP,BA22,"Polypropylene, Unspecified","PP, Unspecified",,,,,,,
Inteplast BOPP,BFA18,"Polypropylene, Unspecified","PP, Unspecified",,,,,,,
Inteplast BOPP,BFP30,"Polypropylene, Unspecified","PP, Unspecified",,,,,,,
Inteplast BOPP,BFY40,"Polypropylene, Unspecified","PP, Unspecified",,,,,,,
Inteplast BOPP,BTP18,"Polypropylene, Unspecified","PP, Unspecified",,,,,,,
Inteplast BOPP,CB18,"Polypropylene, Unspecified","PP, Unspecified",,,,,,,
Inteplast BOPP,CL30,"Polypropylene, Unspecified","PP, Unspecified",,,,,,,
Inteplast BOPP,CL40,"Polypropylene, Unspecified","PP, Unspecified",,,,,,,
Inteplast BOPP,CNL25,"Polypropylene, Unspecified","PP, Unspecified",,,,,,,
Inteplast BOPP,CNL30,"Polypropylene, Unspecified","PP, Unspecified",,,,,,,
Inteplast BOPP,CT35,"Polypropylene, Unspecified","PP, Unspecified",,,,,,,
Inteplast BOPP,CT40,"Polypropylene, Unspecified","PP, Unspecified",,,,,,,
