Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Density,Tensile Strength at Yield,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
TotalEnergies Polystyrene,Crystal 1070,"Polystyrene, General Purpose",PS (GPPS),1.05,,2900.0,,3200.0,,1.6
TotalEnergies Polystyrene,Crystal 1160,"Polystyrene, General Purpose",PS (GPPS),1.05,,2900.0,,3200.0,,2.4
TotalEnergies Polystyrene,Crystal 1340,"Polystyrene, General Purpose",PS (GPPS),1.05,,2900.0,,3100.0,,4.0
TPSC Asia,8265,"Polystyrene, High Impact",PS (HIPS),1.04,27.0,1700.0,,,,3.5
STYRON™,438,"Polystyrene, High Impact",PS (HIPS),1.04,33.0,2430.0,59.0,,,5.0
STYRON™,634,"Polystyrene, General Purpose",PS (GPPS),1.04,54.0,3400.0,85.0,,,3.5
STYRON™,666H,"Polystyrene, General Purpose",PS (GPPS),1.04,48.0,3240.0,90.0,,,8.0
STYRON™,685D,"Polystyrene, General Purpose",PS (GPPS),1.04,55.0,3240.0,115.0,,,1.5
STYRON A-TECH™,1110,"Polystyrene, High Impact",PS (HIPS),1.04,23.0,2140.0,45.0,,,3.0
STYRON A-TECH™,1180,"Polystyrene, High Impact",PS (HIPS),1.04,34.0,2070.0,60.0,,,3.0
Yuyao PPO,GFN2-801,Polyphenylene Ether + PS,PPE+PS,1.2,,5500.0,140.0,,,
Yuyao PPO,N100A,Polyphenylene Ether + PS,PPE+PS,1.1,,3200.0,100.0,,,
Yuyao PPO,SE1X701,Polyphenylene Ether + PS,PPE+PS,1.09,,3200.0,90.0,,,
Kangxi®,FRHIPSMIV-0,"Polystyrene, High Impact",PS (HIPS),1.15,,2100.0,35.0,,,
VAMPSTYR,0023 V0 DF A,"Polystyrene, General Purpose",PS (GPPS),1.15,20.0,,,2200.0,,
VAMPORAN,0024 V0 12,Polyphenylene Ether + PS,PPE+PS,1.17,,,,2600.0,,
VAMPORAN,0024 V0 13,Polyphenylene Ether + PS,PPE+PS,1.12,,,,2700.0,,
Koblend®,P 477E,Polystyrene Alloy,PS Alloy,1.07,20.0,,32.0,1200.0,,5.5
Extir®,AM 2000 AE,"Polystyrene, Expanded",PS (EPS),0.018,,,,,,
Extir®,CM PD Galileo Europa 5 AE,"Polystyrene, Expanded",PS (EPS),0.012,,,,,,
Extir®,P 1212,"Polystyrene, Expanded",PS (EPS),0.02,,,,,,
Edistir®,N 3840,"Polystyrene, General Purpose",PS (GPPS),1.05,,,69.0,3250.0,,10.0
Edistir®,R 321P,"Polystyrene, Medium Impact",PS (MIPS),1.04,26.0,,45.0,2400.0,,15.0
Edistir®,RC 600,"Polystyrene, Medium Impact",PS (MIPS),1.04,29.0,,53.0,1950.0,,6.0
Innova,GPPS 585,"Polystyrene, General Purpose",PS (GPPS),1.05,,,100.0,3300.0,,1.6
Innova,GPPS N 2380E,"Polystyrene, General Purpose",PS (GPPS),1.05,,,95.0,3300.0,,1.5
